               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.119,            0.014144,            0.074803,           0.0041677,             0.22719,           0.0036396,           0.0010607,             0.11553,           0.0074835,             0.07757,              0.0928,              0.0008,              0.0008
                   1,             0.10575,            0.016163,            0.069404,           0.0041128,             0.27018,           0.0065716,           0.0029437,             0.10632,           0.0084729,            0.068616,            0.084692,           0.0016916,           0.0016916
                   2,            0.098306,            0.018549,            0.062138,           0.0027902,             0.27018,            0.049029,            0.022677,             0.10286,           0.0087051,            0.056394,            0.076574,           0.0025743,           0.0025743
                   3,              0.0882,            0.020931,            0.050652,             0.63307,             0.21053,             0.15826,            0.085909,             0.10132,           0.0086188,            0.043163,            0.068448,            0.003448,            0.003448
                   4,            0.083167,            0.021288,            0.041992,             0.76205,             0.18421,             0.19108,            0.089576,            0.091804,             0.00912,            0.035208,            0.060313,           0.0043129,           0.0043129
                   5,            0.080764,            0.019787,            0.036718,             0.79613,             0.15789,              0.1785,             0.10937,            0.082848,           0.0095549,            0.031507,            0.052169,           0.0051688,           0.0051688
                   6,            0.075711,            0.019081,            0.033565,             0.81324,             0.15789,             0.22139,             0.12035,            0.086557,           0.0086613,            0.029454,            0.044016,           0.0060159,           0.0060159
                   7,            0.073182,            0.018958,            0.031051,             0.35444,             0.19241,             0.19282,             0.11309,            0.099359,           0.0068684,            0.028657,            0.035854,            0.006854,            0.006854
                   8,            0.073105,            0.017021,            0.029382,             0.17301,             0.21053,             0.18959,            0.076197,            0.083217,            0.008131,            0.026803,            0.027683,           0.0076832,           0.0076832
                   9,            0.072302,            0.019104,            0.029557,             0.23652,             0.15789,             0.19397,             0.12022,            0.078847,           0.0082231,            0.025663,            0.019504,           0.0085035,           0.0085035
                  10,            0.067365,              0.0175,            0.027769,             0.27594,             0.19492,             0.19135,             0.10059,            0.086588,           0.0071402,            0.025375,            0.011315,           0.0093149,           0.0093149
                  11,            0.073213,            0.016418,            0.026258,              0.8115,             0.18421,             0.26715,             0.14457,            0.065327,            0.008604,            0.024479,           0.0094555,           0.0094555,           0.0094555
                  12,            0.067077,            0.016728,            0.028384,             0.30159,             0.20051,             0.24554,             0.12218,            0.082122,           0.0066338,             0.02417,           0.0094555,           0.0094555,           0.0094555
                  13,             0.06659,            0.015982,            0.025642,             0.17737,             0.37719,             0.24507,             0.11705,            0.074005,           0.0067344,            0.023658,            0.009406,            0.009406,            0.009406
                  14,            0.059623,            0.017213,            0.026197,             0.24409,              0.3819,             0.30983,             0.17156,            0.070871,           0.0063848,            0.023186,           0.0093565,           0.0093565,           0.0093565
                  15,              0.0573,            0.018432,            0.025147,              0.4365,             0.51053,             0.43341,             0.16897,            0.064125,           0.0064955,            0.022979,            0.009307,            0.009307,            0.009307
                  16,            0.057454,            0.016296,            0.023727,             0.47932,             0.46053,             0.48611,             0.22337,            0.066399,           0.0058341,            0.022331,           0.0092575,           0.0092575,           0.0092575
                  17,            0.057239,            0.015772,            0.023724,             0.16387,              0.4389,              0.1943,            0.096625,            0.075256,           0.0054035,            0.021789,            0.009208,            0.009208,            0.009208
                  18,            0.052804,            0.016569,              0.0218,             0.37089,             0.49919,             0.25017,             0.14879,            0.074373,           0.0052626,            0.021451,           0.0091585,           0.0091585,           0.0091585
                  19,            0.058622,            0.013761,            0.023488,             0.45958,             0.60003,             0.41137,             0.22218,            0.054374,           0.0058508,            0.020771,            0.009109,            0.009109,            0.009109
                  20,            0.048349,            0.014152,            0.020323,              0.3655,             0.61053,              0.2711,             0.11655,            0.070083,            0.005363,            0.020057,           0.0090595,           0.0090595,           0.0090595
                  21,             0.05063,            0.015292,             0.01947,             0.67784,             0.46533,             0.58649,             0.23579,            0.054759,           0.0054297,            0.019003,             0.00901,             0.00901,             0.00901
                  22,            0.048543,            0.013558,            0.017545,             0.58989,             0.53158,             0.59608,              0.3517,            0.064288,           0.0049341,            0.019142,           0.0089605,           0.0089605,           0.0089605
                  23,             0.05165,            0.013682,            0.016555,             0.85875,             0.60088,             0.70403,             0.33313,            0.044366,            0.005002,            0.019078,            0.008911,            0.008911,            0.008911
                  24,             0.04994,            0.012867,             0.01695,             0.78633,             0.55789,              0.6905,             0.36433,            0.045537,           0.0048032,            0.019101,           0.0088615,           0.0088615,           0.0088615
                  25,            0.045207,            0.011284,            0.017053,             0.40682,             0.69213,             0.66388,             0.28877,            0.046811,           0.0048499,            0.019748,            0.008812,            0.008812,            0.008812
                  26,            0.045668,             0.01269,            0.014048,             0.42892,             0.66053,             0.54491,             0.24983,            0.053169,            0.004514,            0.022999,           0.0087625,           0.0087625,           0.0087625
                  27,            0.048067,            0.011364,            0.013835,             0.56342,             0.50126,             0.54291,             0.25355,            0.052733,           0.0042422,            0.019762,            0.008713,            0.008713,            0.008713
                  28,            0.045999,            0.011889,            0.016104,             0.65623,             0.59458,             0.67235,             0.38866,            0.045602,           0.0040967,            0.019216,           0.0086635,           0.0086635,           0.0086635
                  29,            0.042475,            0.012029,            0.011874,             0.59351,             0.58421,                0.67,             0.30012,             0.04829,           0.0041304,            0.019537,            0.008614,            0.008614,            0.008614
                  30,            0.044221,            0.010597,             0.01135,             0.42018,             0.79813,              0.5283,             0.25828,             0.05426,           0.0040021,            0.018462,           0.0085645,           0.0085645,           0.0085645
                  31,            0.044229,            0.011295,            0.012721,             0.59685,             0.66661,              0.7045,             0.29704,            0.043913,           0.0041535,             0.01998,            0.008515,            0.008515,            0.008515
                  32,            0.042149,            0.011001,            0.010665,             0.75129,             0.48342,             0.68061,             0.30403,            0.047036,           0.0039575,            0.020431,           0.0084655,           0.0084655,           0.0084655
                  33,            0.040226,            0.010877,            0.013699,             0.70624,             0.49123,             0.60889,             0.27469,            0.052043,           0.0038795,            0.019712,            0.008416,            0.008416,            0.008416
                  34,             0.04038,             0.01051,            0.012454,              0.5226,             0.73947,               0.656,              0.2759,            0.052012,           0.0038323,            0.020157,           0.0083665,           0.0083665,           0.0083665
                  35,            0.042831,             0.01055,            0.012535,             0.67302,             0.71383,             0.71261,             0.41265,            0.038064,           0.0038598,            0.018692,            0.008317,            0.008317,            0.008317
                  36,            0.038688,            0.010453,             0.01284,             0.61514,             0.71716,             0.67425,             0.39595,            0.036533,           0.0038111,            0.020299,           0.0082675,           0.0082675,           0.0082675
                  37,            0.040163,           0.0094618,           0.0098966,             0.57944,             0.74693,             0.53641,             0.31384,            0.045509,           0.0036917,            0.020814,            0.008218,            0.008218,            0.008218
